#9BB7D4,2000,Cerulean,Pantone 15-4020
#C74375,2001,Fuchsia Rose,Pantone 17-2031
#BF1932,2002,True Red,Pantone 19-1664
#7BC4C4,2003,Aqua Sky,Pantone 14-4811
#E2583E,2004,Tigerlily,Pantone 17-1456
#53B0AE,2005,Blue Turquoise,Pantone 15-5217
#DECDBE,2006,Sand Dollar,Pantone 13-1106
#9B1B30,2007,Chili Pepper,Pantone 19-1557
#5A5B9F,2008,Blue Iris,Pantone 18-3943
#F0C05A,2009,Mimosa,Pantone 14-0848
#45B5AA,2010,Turquoise,Pantone 15-5519
#D94F70,2011,Honeysuckle,Pantone 18-2120
#DD4124,2012,Tangerine Tango,Pantone 17-1463
#009473,2013,Emerald green,Pantone 17-5641
#B163A3,2014,Radiant Orchid,Pantone 18-3224
#955251,2015,Marsala,Pantone 18-1438
#F7CAC9,2016,Rose Quartz,Pantone 13-1520
#92A8D1,2016,Serenity,Pantone 15-3913
#88B04B,2017,Greenery,Pantone 15-0343
#5F4B8B,2018,Ultra Violet,Pantone 18-3838
#FF6F61,2019,Living Coral,Pantone 16-1546
